Name,IconSWF,IconExportName,LocalizedName,SortOrder,Enabled,EnabledCN,FileName,TestLanguage,UsedSystemFont,PreferedFallbackFont,ForcedFontFullName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,TestExcludes,LoadAllLanguages,ChampionshipRegisterUrl,ChampionshipRegisterUrl_cn,TermsAndServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,LaserboxUrl,LaserboxUrlCN,LaserboxStagingUrl,LaserboxStagingUrlCN,LaserboxCommunityUrl,LaserboxCommunityUrlCN,LaserboxCommunityStagingUrl,LaserboxCommunityStagingUrlCN,LaserboxLangCode,FaqUrl_ios,FaqUrl_ios_cn,FaqUrl_android,FaqUrl_android_cn,ContactUsUrl_ios,ContactUsUrl_ios_cn,ContactUsUrl_android,ContactUsUrl_android_cn,LaserboxEnabled,IsRTL,isNounAdj,SeparateThousandsWithSpaces,SelfHelpUrl,SelfHelpUrlCN,FallbackToHelpshift,FallbackToHelpshiftCN,TermsAndServiceUrl_Tencent_android,ParentsGuideUrl_Tencent_android,PrivacyPolicyUrl_Tencent_android,TermsAndServiceUrl_Tencent_ios,ParentsGuideUrl_Tencent_ios,PrivacyPolicyUrl_Tencent_ios,TermsAndServiceUrl_Yoozoo,ParentsGuideUrl_Yoozoo,PrivacyPolicyUrl_Yoozoo,DeviceMigrationSelfHelpUrl
String,String,String,String,int,Boolean,Boolean,String,Boolean,String,String,String,String,String,String,Boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,Boolean,Boolean,Boolean,Boolean,String,String,Boolean,Boolean,String,String,String,String,String,String,String,String,String,String
EN,sc/ui.sc,flag_gb,English,0,true,true,localization/texts.csv,,,,,en,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,https://brawlstars.scinbox.qq.com/,https://staging.inbox.brawlstars.com/,https://testbrawlstars.scinbox.qq.com/,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,https://game-assets.tencent-cloud.com/self-help/brawl-stars/en/index.html,,,https://galebrawl.rf.gd,https://game.qq.com/privacy_guide_children.shtml,http://game.qq.com/privacy_guide_en.shtml,http://game.qq.com/contract_en.shtml,https://game.qq.com/privacy_guide_children.shtml,http://game.qq.com/privacy_guide_en.shtml,https://m.youzu.com/about/services.html?noheader=100&cid=m_bs_service,,https://m.youzu.com/about/privacy.html?noheader=100&cid=m_bs_privacy,https://game-assets.tencent-cloud.com/self-help/brawl-stars/en/account/index.html
CN,sc/ui.sc,flag_gb,简体中文,5,true,true,localization/cn.csv,,STHeitiSC-Medium,,,zh-Hans,zh_CN,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,https://brawlstars.scinbox.qq.com/,https://staging.inbox.brawlstars.com/,https://testbrawlstars.scinbox.qq.com/,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,https://game-assets.tencent-cloud.com/self-help/brawl-stars/zh_cn/index.html,,,,https://game.qq.com/privacy_guide_children.shtml,http://game.qq.com/privacy_guide.shtml,http://game.qq.com/contract.shtml,https://game.qq.com/privacy_guide_children.shtml,http://game.qq.com/privacy_guide.shtml,https://m.youzu.com/about/services.html?noheader=100&cid=m_bs_service,,https://m.youzu.com/about/privacy.html?noheader=100&cid=m_bs_privacy,https://game-assets.tencent-cloud.com/self-help/brawl-stars/zh_cn/account/index.html
AR,sc/ui.sc,flag_gb,العربية,18,true,false,localization/ar.csv,,,,,ar,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/ar/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/ar/community/,,ar,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,TRUE,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
FR,sc/ui.sc,flag_gb,Français,1,true,false,localization/fr.csv,,,,,fr,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/fr/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/fr/community/,,fr,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,TRUE,TRUE,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
DOUBLE,sc/ui.sc,flag_gb,Double,101,false,false,localization/texts.csv,TRUE,,,,en,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
EMPTY,sc/ui.sc,flag_gb,Empty,102,false,false,localization/texts.csv,TRUE,,,,en,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
DOUBLEDOUBLE,sc/ui.sc,flag_gb,DoubleDouble,103,false,false,localization/texts.csv,TRUE,,,,en,,,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
TEXT,sc/ui.sc,flag_gb,Longest text,104,false,false,localization/texts.csv,TRUE,,,,en,,CN,TRUE,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,https://staging.inbox.brawlstars.com/,,https://web.telegram.org,,https://staging.inbox.brawlstars.com/community/,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,CNT,,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,http://galebrawl.rf.gd,,,,https://web.telegram.org,,,,,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,https://t.me/galebrawll,,,,,https://t.me/shuvee_dev,,,,,,,,,,,,,
