TID,UA
string,string
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Нагорода кінця сезону СИЛОВОЇ ГОНКИ
TID_PRO_LEAGUE_INFO_POPUP_INFO,Нагорода\nза очки
TID_PRO_LEAGUE_INFO_POPUP_RANK,Місце
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Очки
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Додаткова нагорода за досягнення\nвершини глобального списку лідерів
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,Нагорода кінця сезону
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,Списки лідерів
TID_PRO_LEAGUE_SEASON_END_TIME,ДО КІНЦЯ СЕЗОНУ
TID_PRO_LEAGUE_POPUP_TITLE,СИЛОВА ГОНКА
TID_EVENT_LABEL_PRO_LEAGUE,СИЛОВА ГОНКА
TID_PRO_LEAGUE_POPUP_INFO,Випробуй себе в СИЛОВІЙ ГОНЦІ! Бийся в 3 боях щодня та просувайся до вершини сезонного списку лідерів. У кінці сезону ти отримаєш зоряні очки за набрані в сезоні очки та місце в глобальному списку лідерів.
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,ПОТОЧНИЙ СЕЗОН
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,МИНУЛИЙ СЕЗОН
TID_PRO_LEAGUE_LABEL,СИЛОВА ГОНКА
TID_TEAM_ERROR_38,Вибери бійця з 10-м рівнем сили!
TID_TEAM_ERROR_39,Усі ігри СИЛОВОЇ ГОНКИ на сьогодні проведені!
TID_PRO_LEAGUE_GAMES,ІГРИ: <GAMESLEFT> ІЗ <MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,СЕЗОН СИЛОВОЇ ГОНКИ ЗАКІНЧИВСЯ
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Твої очки
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Твоє місце
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Зоряні очки
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,Кінець сезону СИЛОВОЇ ГОНКИ: отримано <AMOUNT> <cff00ff>зоряних очок!</c>
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Епічна перемога (+3 очки):
TID_OVERWHELMING_VICTORY_GMV_0,"переможіть до того, як з'явиться 15-й кристал."
TID_OVERWHELMING_VICTORY_GMV_5,переможіть із рахунком 2:0
TID_OVERWHELMING_VICTORY_GMV_2,збережіть не менш ніж 80 % очок здоров'я свого сейфа.
TID_OVERWHELMING_VICTORY_GMV_11,збережіть не менш ніж 80 % очок здоров'я своєї бази.
TID_OVERWHELMING_VICTORY_GMV_3,"наберіть хоча б на 10 зірок більше, ніж супротивник."
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Отримуй очки за місце за підсумками бою.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"30 очок за перемогу, 15 очок за нічию та 5 втішних очок за поразку."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,ОЧКИ
TID_DOUBLE_TOKEN_WEEKEND,ПОДІЯ З ПОДВОЄНИМИ ЖЕТОНАМИ
TID_RANKS_ADDED_TITLE,Нові ранги для бійців
TID_RANKS_ADDED_DESC,"Максимальний ранг бійця виріс із 20-го до 35-го.\n\nТи отримуєш зоряні очки (<cff00ff><STARPOINTS></c>) і жетони (<TOKENS>) за всіх бійців, що досягли будь-якого з цих нових рангів."
TID_SKINS_TITLE,СКІНИ
TID_SKINS_BUTTON_LABEL,СКІНИ
TID_SKIN_PREVIEW,ПЕРЕДПЕРЕГЛЯД СКІНУ
TID_DEFAULT_SKIN,<HERO>: СТАНДАРТНИЙ СКІН
TID_HERO_LVL_UP_MATERIAL,монети
TID_TOKENS,жетони
TID_FIRST_WINS,зоряні жетони
TID_BUTTON_INBOX,ВХІДНІ
TID_INBOX_TITLE,ВХІДНІ
TID_INBOX_SYSTEM_SENDER,Система
TID_INBOX_SUPPORT_SENDER,Служба підтримки
TID_INBOX_AGE,<TIME> тому
TID_INBOX_CLAIM,ЗАБРАТИ
TID_INBOX_VIEW,ДИВИТИСЯ
TID_INBOX_TAB_0,КЛУБ
TID_INBOX_TAB_1,ОСОБИСТІ
TID_INBOX_NO_ENTRIES,НІЧОГО НЕМАЄ
TID_INBOX_CAPTION_99,Сезон закінчився.
TID_INBOX_CAPTION_94,Ви отримуєте скін: <NAME>
TID_INBOX_CAPTION_93,Ви отримуєте бійця: <NAME>
TID_INBOX_CAPTION_92,<NAME>: ви отримуєте очки сили (<AMOUNT>) для цього бійця.
TID_INBOX_CAPTION_91,Ви отримуєте квитки (<AMOUNT>).
TID_INBOX_CAPTION_90,Ви отримуєте <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_89,Ви отримуєте кристали (<AMOUNT>)
TID_INBOX_CAPTION_88,Ви отримуєте подвоювач жетонів (<AMOUNT>)
TID_INBOX_CAPTION_85,З вашого рахунку списані кристали (<AMOUNT>)
TID_INBOX_CAPTION_84,<NAME>: ви отримуєте зоряну силу «<ABI>» для цього бійця
TID_INBOX_CAPTION_78,Нові ранги для бійців: 21-30!
TID_INBOX_NEW,НОВЕ!
TID_BAND_MAIL_POPUP_TITLE,КЛУБ
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Напиши повідомлення...
TID_BAND_MAIL_POPUP_POST,ВІДПРАВИТИ
TID_BAND_MAIL_POPUP_NO_MSG,Спочатку напиши повідомлення
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Недоступно для демонстраційних облікових записів.
TID_REVOKE_TITLE,Повідомлення служби підтримки
TID_REVOKE_OK,Зрозуміло
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Не можна відправити запит на вступ. Ти вже в команді.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Не можна відправити запит на вступ.\nСпочатку розглянь запрошення в команду.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Не можна відправити запит на вступ. Інший твій запит очікує розгляду.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Запит на вступ скасований.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,Я ХОЧУ ВСТУПИТИ У ВАШУ КОМАНДУ
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>ПЕРЕМОГА</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>ПОРАЗКА</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>НІЧИЯ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>МІСЦЕ: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>МІСЦЕ: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>МІСЦЕ: <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> тому
TID_BATTLE_LOG_HERO_LEVEL_LABEL,Р.
TID_BATTLE_LOG_TVST_VERSUS,ПРОТИ
TID_BATTLE_LOG_TITLE,ДАНІ БОЮ
TID_BATTLE_LOG_REPLAY,ПОВТОР
TID_BATTLE_LOG_SURVIVED_FOR,Час виживання: <TIME>
TID_BATTLE_LOG_VICTORY_IN,Мегабоєць переможений за <TIME>
TID_BATTLE_LOG_MVP,ЗОРЯНИЙ ГРАВЕЦЬ
TID_BATTLE_LOG_FRIENDLY,ДРУЖНІЙ
TID_BATTLE_LOG_PVP,РАНГОВИЙ
TID_BATTLE_LOG_PRO_LEAGUE,СИЛОВА ГОНКА
TID_BATTLE_LOG_NO_ENTRIES,НЕМАЄ ЗАПИСІВ
TID_BATTLE_LOG_THIS_IS_A_BOT,Це бот
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Повтори зараз відключені
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Повтор ще не доступний
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Повтор недоступний: у бійця замало трофеїв
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,"Збери <NUM> трофеїв бійця, щоб розблокувати можливість повторів"
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Повтор недоступний: помилка запису
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Повтор більше недоступний
TID_PLAYER_XP_LEVEL,РІВЕНЬ
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Не вдалося додати друга
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Термін дії посилання для запрошення друга минув!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Не вдалося додати друга, список друзів користувача переповнений!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Не вдалося додати друга, твій список друзів переповнений!"
TID_ADD_FRIEND_FAILED_BANNED,"Не вдалося додати друга, користувач заблокований!"
TID_KEYPOOL_KEYS_REMAINING,Ще <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> жетонів через <TIME>
TID_TOP_HUD_NEXT_REWARD,Наступна нагорода
TID_RANK_UP_REWARD_REPLACED_TITLE,Підтвердження отримання альтернативної нагороди
TID_RANK_UP_REWARD_REPLACED_POWER,Жоден боєць не може бути вибраний для отримання <AMOUNT> очок сили.\n\nВізьмеш замість цього альтернативну нагороду?
TID_RANK_UP_REWARD_REPLACED_HERO,"У тебе вже є <NAME>, тому ти отримаєш альтернативну нагороду."
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,ЗАПРОПОНУВАТИ ДРУЖИТИ
TID_PLAYER_INFO_REMOVE_FRIEND,Видалити зі списку друзів
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,Пропозиція відправлена
TID_PLAYER_INFO_IS_YOUR_FRIEND,друг\nу грі
TID_POWER_POINTS,ОЧКИ СИЛИ
TID_HERO_INFO_LEVEL,СИЛА
TID_HERO_INFO_RANK,РАНГ
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,ПІДВИЩИТИ РІВЕНЬ СИЛИ ДО <LVL>-ГО
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,НАТИСНИ ЗНОВУ ДЛЯ ПІДТВЕРДЖЕННЯ
TID_HERO_INFO_MAX_LEVEL,МАКСИМАЛЬНА СИЛА
TID_HERO_INFO_MORE_POWER_NEEDED,"Збери більше очок сили, щоб поліпшити!"
TID_HERO_INFO_LEVEL_UP_ERROR_4,Бійцю бракує очок сили!
TID_HERO_INFO_LEVEL_UP_ERROR_3,Тобі бракує монет!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Боєць досяг максимального рівня сили!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,ПОЧАТКОВИЙ БОЄЦЬ
TID_HERO_INFO_STAR_POWER_EQUIP,ВИБРАТИ
TID_HERO_INFO_STAR_POWER_EQUIPPED,ВИБРАНО
TID_PLAYER_REPORTED_SUCCESSFULLY,Скарга відправлена!
TID_TOO_MANY_REPORTS_SENT,Досягнутий щоденний ліміт скарг!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Почекай, перш ніж відправляти нову скаргу."
TID_CHOOSE_CHARACTER,ВИБЕРИ БІЙЦЯ
TID_ARMOR,ЗДОРОВ'Я
TID_ARMOR_DESC,"Бідображає кількість пошкоджень, яку може витримати боєць."
TID_SHOTGUN_GIRL,ШЕЛЛІ
TID_SHOTGUN_GIRL_DESC,Шеллі обрушує на ворожу команду шквал дробу з рушниці. Її Супер знищує укриття та тримає супротивників на відстані!
TID_LONG_RANGE_SHOTGUN,КАРТЕЧ
TID_LONG_RANGE_SHOTGUN_DESC,"Громобій Шеллі випускає сніп куль на середню дистанцію. Що більше куль досягає цілі, то більше пошкодження."
TID_MEGA_BLASH_ULTI,СУПЕРОБСТРІЛ
TID_MEGA_BLASH_ULTI_DESC,"Суперобстріл Шеллі зносить і укриття, і ворогів. Тих, що вижили, відкидає назад."
TID_GUNSLINGER,КОЛЬТ
TID_GUNSLINGER_DESC,Постріли з револьверів Кольта неймовірно точні. Його Супер кришить укриття та долає ще більшу дистанцію!
TID_RAPID_FIRE,ПОВНА ОБОЙМА
TID_RAPID_FIRE_DESC,Кольт робить шість пострілів великої дальності з револьверів.
TID_RAPID_FIRE_ULTI,КУЛЬОВИЙ ШТОРМ
TID_RAPID_FIRE_ULTI_DESC,Кулі з револьверів Кольта покривають величезну відстань і знищують укриття.
TID_BULL_DUDE,БУЛЛ
TID_BULL_DUDE_DESC,Рушниця Булла завдає серйозної шкоди на невеликій дистанції. Його Супер дозволяє йому прориватися крізь перешкоди та відкидати ворогів назад!
TID_SHOTGUN_BLAST,ДВОСТВОЛКА
TID_SHOTGUN_BLAST_DESC,"Двостволка Булла завдає серйозної шкоди, але має малу дальність. Тому Булл надає перевагу тісному спілкуванню."
TID_CHARGE,БУЛЬДОЗЕР
TID_CHARGE_DESC,"Нагнувши голову, Булл проноситься крізь ворогів і перешкоди. Завзятість — його друге я."
TID_ROCKET_GIRL,БРОК
TID_ROCKET_GIRL_DESC,"Вибухова ракета Брока летить на велику дистанцію. Його Супер — дощ із балістичних ракет, що змітає укриття!"
TID_FIREWORKS_WEAPON,ФАТАЛЬНА РАКЕТА
TID_FIREWORKS_WEAPON_DESC,Випущена Броком фатальна ракета летить високо та далеко.
TID_FIREWORKS_ULTI,РАКЕТНИЙ ДОЩ
TID_FIREWORKS_ULTI_DESC,Загороджувальний ракетний вогонь Брока змітає перешкоди та ворогів. Він викупає тебе під ракетним дощем!
TID_TNT_DUDE,ДИНАМАЙК
TID_TNT_DUDE_DESC,"Динамайк кидає пару динамітних шашок. Його Супер — начинена динамітом бочка, яка рознесе укриття в тріски!"
TID_MORTAR,РІЗКИЙ ЗАПАЛ
TID_MORTAR_DESC,"Кинута Майком пара шашок легко подолає перешкоди, а динаміт, що начиняє їх, вибухонебезпечний, як характер Майка!"
TID_MORTAR_ULTI,ВЕЛИКИЙ БА-БАХ
TID_MORTAR_ULTI_DESC,"Супермегапотужний вибух зносить укриття. Ворогів, які вижили, відкидає вибуховою хвилею!"
TID_LUCHADOR,ЕЛЬ ПРІМО
TID_LUCHADOR_DESC,"Ель Прімо обрушує на ворогів град ударів. Його Супер, удар ліктем у стрибку, завдає шкоди всім, хто опинився поруч!"
TID_LUCHADOR_WEAPON,КУЛАКИ ЛЮТІ
TID_LUCHADOR_WEAPON_DESC,Ель Прімо завдає чотири несамовиті удари своїми потужними кулаками.
TID_LUCHADOR_ULTI,МОГУТНІЙ ЛІКОТЬ
TID_LUCHADOR_ULTI_DESC,"Високо підстрибнувши, Ель Прімо із силою обрушує вниз лікоть, розкидаючи в боки ворогів і руйнуючи укриття."
TID_TRICKSHOT_DUDE_OLD,РИКОШЕТ
TID_TRICKSHOT_DUDE_DESC,Випущені Ріко кулі можуть відскакувати від стін. Його Супер долає велику дистанцію та наскрізь прошиває ціль!
TID_TRICKSHOT_DUDE_WEAPON,ПРУЖНІ КУЛІ
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Відскакуючи від стін, кулі Ріко летять ще далі та можуть дістати ворогів, які сховалися в укритті."
TID_TRICKSHOT_DUDE_ULTI,КОРОННИЙ УДАР
